timestamp,v_x,w_z
1715420058.566456880,2.0873,0.0035175
1715420058.616443587,2.08567,0.0394811
1715420058.666431650,2.05918,0.0226265
1715420058.716498314,2.07576,0.0344104
1715420058.766473474,2.08733,-0.0156227
1715420058.816429202,2.07947,0.0193497
1715420058.866432971,2.06717,0.0567541
1715420058.916469247,2.0751,0.0305488
1715420058.966472694,2.08874,0.10364
1715420059.016455808,2.07942,0.0525117
1715420059.066422881,2.07773,-0.0593046
1715420059.116432722,2.07885,0.0189292
1715420059.166474146,2.11782,0.0350123
1715420059.216538700,2.09188,0.0236884
1715420059.266428589,2.2,0.0398455
1715420059.316471042,1.95,0.0744489
1715420059.366479657,2.08989,0.00607646
1715420059.416433199,2.10324,0.0314007
1715420059.466434901,2.07899,0.072078
1715420059.516446756,2.09541,0.0436059
1715420059.566458865,2.10771,0.0533083
1715420059.616452319,2.0998,0.046531
1715420059.666424841,2.08907,-0.0136588
1715420059.716431929,2.09636,0.0284309
1715420059.766492856,2.08092,0.15601
1715420059.816441546,2.09117,0.0667258
1715420059.866452160,2.06915,0.0230034
1715420059.916435649,2.08363,0.0536022
1715420059.966461916,2.10239,0.0239491
1715420060.016449682,2.0898,0.0447002
1715420060.066439566,2.08293,0.100077
1715420060.116469340,2.0874,0.0613302
1715420060.166486788,2.05265,0.0110045
1715420060.216446243,2.07571,0.0462422
1715420060.266443692,2.08933,0.061912
1715420060.316455101,2.0803,0.0509725
1715420060.366442184,2.09485,0.105943
1715420060.416431325,2.08509,0.067493
1715420060.466998645,2.12787,-0.0542115
1715420060.516457935,2.09949,0.0309668
1715420060.566581960,2.10656,0.0870433
1715420060.616446774,2.10214,0.0477931
1715420060.666472666,2.14057,-0.352207
1715420060.716468793,2.11536,-0.27877
1715420060.766441697,2.08703,-0.201755
1715420060.816467929,2.10614,-0.256013
1715420060.866454499,1.96616,-0.656013
1715420060.916461579,2.11364,-0.467238
1715420060.966490900,2.13852,-0.510596
1715420061.016463381,2.1225,-0.480859
1715420061.066434004,1.30325,-0.880859
1715420061.116469107,1.69702,-0.746154
1715420061.166462100,0.547151,-1.14615
1715420061.216462369,0.825553,-1.04887
1715420061.266431635,0.68889,-1.09648
1715420061.316464717,0.780589,-1.06441
1715420061.366458035,0.645011,-1.11205
1715420061.416475591,0.736042,-1.07997
1715420061.466434820,0.932839,-1.00298
1715420061.516590778,0.792611,-1.05812
1715420061.566474975,0.767026,-1.06964
1715420061.616539336,0.781783,-1.06281
1715420061.666438625,0.852577,-1.04428
1715420061.716489537,0.799706,-1.05848
1715420061.766461655,0.4,-1.45848
1715420061.816431334,0.4,-1.29648
1715420061.866455630,1.24622,-0.896481
1715420061.916463860,2.08963,-0.496481
1715420061.966477428,2.05644,-0.0964813
1715420062.016440606,2.07852,0.303519
1715420062.066432379,1.81051,0.703519
1715420062.116437768,0.671316,1.10352
1715420062.166521134,0.454212,1.18094
1715420062.216446413,0.510897,1.16072
1715420062.266446767,0.4,1.21872
1715420062.316466282,0.457907,1.17942
1715420062.366461169,0.628632,1.11788
1715420062.416457504,0.505844,1.16224
1715420062.466434130,0.4,1.20975
1715420062.516483025,0.462318,1.17778
1715420062.566470528,0.421771,1.19191
1715420062.616436821,0.446166,1.18331
1715420062.666434360,0.558085,1.14232
1715420062.716471235,0.476343,1.17231
1715420062.766454664,0.584461,1.13161
1715420062.816504390,0.505782,1.16134
1715420062.866432496,0.41029,1.1963
1715420062.916462958,0.47398,1.17309
1715420062.966447270,0.4,1.25839
1715420063.016469620,0.400039,1.19999
1715420063.066432327,0.795229,1.05973
1715420063.116469399,0.513115,1.15915
1715420063.166428656,0.4,1.20441
1715420063.216467092,0.472157,1.17399
1715420063.266459653,1.67802,0.773994
1715420063.316456051,0.467182,1.17399
1715420063.366450152,0.469611,1.17471
1715420063.416465228,0.455996,1.17968
1715420063.466434154,0.467671,1.17568
1715420063.516518483,0.455919,1.17977
1715420063.566484098,0.4,1.23292
1715420063.616475018,1.50123,0.832923
1715420063.666445311,0.4,1.23292
1715420063.716440014,0.434887,1.18743
1715420063.766474745,0.4,1.24392
1715420063.816452516,0.4,1.20601
1715420063.866468904,0.405037,1.19818
1715420063.916460737,0.4,1.20554
1715420063.966470488,0.463626,1.17733
1715420064.016468711,0.402912,1.19895
1715420064.066470343,0.4,1.22034
1715420064.116465429,0.4,1.20755
1715420064.166454509,0.602317,1.12717
1715420064.216454018,0.439212,1.18593
1715420064.266462369,0.422917,1.19185
1715420064.316477698,0.427335,1.19022
1715420064.366485609,0.4,1.21987
1715420064.416466481,0.4,1.20166
1715420064.466470846,0.4,1.24611
1715420064.516463924,0.4,1.21752
1715420064.566476736,0.402316,1.19917
1715420064.616459315,0.4,1.21454
1715420064.666429627,0.411522,1.19591
1715420064.716456923,0.4,1.21147
1715420064.766460986,0.699739,1.09242
1715420064.816503151,0.460014,1.17849
1715420064.866425781,1.65239,0.778489
1715420064.916437375,2.11044,0.378489
1715420064.966455472,2.11198,0.0896037
1715420065.016469325,2.1113,0.0376541
1715420065.066432302,2.09324,0
1715420065.116471415,2.1057,0.0256629
1715420065.166459850,2.03797,-0.0320325
1715420065.216461456,2.08315,0.00699418
1715420065.266426764,2.07606,-0.0188741
1715420065.316471213,2.0807,0
1715420065.366467033,2.11778,-0.0385639
1715420065.416436971,2.09317,-0.0144563
1715420065.466431274,2.15295,0.00935423
1715420065.516434910,2.11353,-0.00869964
1715420065.566469957,2.12512,0.0175255
1715420065.616459863,2.11786,0
1715420065.666449314,2.1026,-0.0795678
1715420065.716431187,2.11345,-0.0268138
1715420065.766471475,2.04163,-0.0249738
1715420065.816481121,2.08996,-0.0276405
1715420065.866440077,2.07619,0.0463199
1715420065.916462185,2.0859,-0.00681734
1715420065.966465088,2.11387,-0.0245796
1715420066.016462745,2.09577,-0.0135454
1715420066.066487290,2.10348,-0.0405201
1715420066.116428105,2.09894,-0.0229982
